GDP,HOUS_SAV,GDP_ID,TAX_REV,TAX_INC,SOC_CON,POP_TER,COST_STARTUP,ADJ_NET_INC,UNEMPLOY,TEA,TEAF
35212.94778,-0.560703781,1.056052088,27.287,7.628,3.69,35.213902,10.4,23466.34906,4.443757,9.14,0.45
32566.89489,1.135719962,1.053061869,28.611,8.867,3.752,33.406429,10.4,20844.63303,3.914628,11.37,0.43
55737.44284,10.95338456,3.132667737,38.187,10.373,14.391,32.281734,6.5,37791.48357,3.139417,7.63,0.6
54456.78393,10.95338456,3.132667737,38.187,10.373,14.391,32.281734,6.5,37791.48357,3.38409,4.97,0.5
53011.74246,10.42246443,3.067917512,37.569,10.193,14.233,31.308737,6.5,37791.48357,3.746631,5.28,0.59
50564.04928,10.15356917,2.940989622,37.416,9.932,14.084,30.527618,6.8,35796.37979,4.122733,4.56,0.52
47683.5473,10.06169524,2.930025346,36.978,9.802,13.928,29.588667,6.7,34943.00595,4.624955,4.7,0.54
47011.2804,9.836057068,2.877840495,36.675,9.612,13.873,28.422802,6.9,40589.06727,4.981592,5.27,0.61
44993.66784,9.288798546,2.835986547,36.77,9.57,13.88,29.995255,8.8,39257.73989,5.231962,4.98,0.65
43359.54105,9.651677002,2.881655551,36.392,9.374,13.903,28.956329,4.8,37241.18439,5.380757,5.34,0.5
42541.51313,10.02051496,2.805546283,35.703,8.829,13.763,27.67141,4.6,39671.91268,5.827424,5.62,0.66
39703.55809,10.30662644,2.730237388,35.01,8.503,13.719,26.133959,4.8,35069.50969,6.967637,4.17,0.54
37501.12756,10.37425114,2.742662559,36.081,9.089,13.928,25.655298,4.7,34924.45517,7.743155,4.1,0.81
38432.44821,10.91163527,2.615133026,35.409,9.38,12.9,23.916872,5.6,38244.2922,7.527764,3.77,0.84
36820.15324,10.69522609,2.460480567,34.892,8.708,12.756,22.62182,5.7,35350.97743,8.66153,4.21,0.45
34624.96888,10.63636523,2.472315478,34.493,8.357,13.215,21.983997,5.1,30860.69576,10.25272,4.21,0.45
32236.74099,10.56261938,2.441928279,33.874,7.808,13.486,22.494616,4.7,29096.59256,11.16768,5.09,0.61
31712.91741,10.62396965,2.43518833,33.865,7.756,13.743,22.942751,5.9,28588.36368,9.793687,4.4,0.42
30236.40389,10.55135674,2.474613872,34.613,8.268,14.021,21.799734,5.9,24843.92577,9.637083,5.22,0.47
29504.28924,10.08373206,2.436220998,34.386,8.634,13.848,21.739561,5.9,20561.52149,8.653863,5.16,0.49
28670.65653,9.992706696,2.40437244,35.01,9.497,13.918,21.779524,5.9,19439.79855,7.836031,6.28,0.44
47823.0485,8.378602285,2.200024606,46.095,9.473,16.088,46.937691,0.7,32671.75509,8.443416,6.13,0.75
46242.46247,8.378602285,2.200024606,46.095,9.473,16.088,46.937691,0.7,32671.75509,9.016774,6.13,0.75
44651.36445,8.1268845,2.205574836,46.117,8.568,16.773,44.34428,0.7,32671.75509,9.406466,3.92,0.44
42853.53936,8.1829446,2.222383891,45.374,8.558,16.698,44.036968,0.7,31055.08234,10.03868,5.32,0.47
40840.8483,8.328067581,2.267030775,45.281,8.511,16.735,44.687599,0.7,30857.68707,10.35453,5.34,0.6
40144.05949,8.855639754,2.27591667,45.449,8.49,16.93,44.726288,0.8,36130.04873,10.29171,5.34,0.6
39528.47364,8.521583715,2.237025131,45.367,8.433,16.749,44.055721,0.9,35808.93088,9.921325,4.57,0.5
37684.19807,9.997338432,2.227065823,44.36,8.028,16.464,42.909988,0.9,34367.52343,9.399351,5.17,0.63
37447.94954,9.943343678,2.191614526,43.334,7.43,16.248,42.988277,0.9,37180.50512,8.811044,5.73,0.34
35936.04187,10.45313145,2.178573219,42.145,7.179,16.125,42.87175,0.9,34311.51773,8.871792,5.83,0.68
34719.50499,10.59429219,2.21206518,41.528,7.143,16.295,43.149895,0.9,34915.31018,8.735972,4.35,0.3
35102.87043,9.251107216,2.061169195,42.332,7.352,15.748,40.825264,1,38654.2053,7.062972,5.64,0.41
34092.91957,9.432270667,2.024512996,42.545,7.238,15.747,41.444328,1.1,35595.57423,7.658579,3.17,0.53
32435.70292,9.046191426,2.050937992,43.273,7.542,15.985,41.416058,1.1,31241.34843,8.449007,4.39,0.4
30504.05878,8.501870804,2.051505823,42.904,7.718,15.839,39.776222,1.2,29815.19373,8.493855,5.35,0.45
29038.69886,9.648766573,2.094612844,42.413,7.196,15.711,38.220337,1.1,29059.46936,8.468398,6.03,0.46
28146.37925,9.598708181,2.119937208,42.239,7.35,15.919,37.855179,1.4,25352.61143,8.099563,1.63,0.95
62852.65823,7.958363289,2.825785707,24.33,9.908,6.106,49.373737,1,51484.94124,3.666667,17.42,0.91
62852.65823,7.958363289,2.825785707,24.33,9.908,6.106,49.373737,1,51484.94124,3.9,15.59,0.77
59984.09391,7.187550477,2.812501025,26.78,10.377,6.171,47.757,1.1,51484.94124,4.35,13.64,0.64
57884.49107,6.994919017,2.760293326,25.872,10.392,6.164,47.521809,1.1,49478.66778,4.866667,12.63,0.71
56770.41735,7.865943452,2.716597951,26.148,10.565,6.179,46.517712,1.1,49173.44947,5.291667,11.88,0.63
54993.16949,7.587876283,2.718388695,25.927,10.124,6.145,45.663815,1.2,47837.56796,6.166667,13.81,0.68
53045.94512,6.612685931,2.70972319,25.569,9.914,6.137,44.779469,1.2,45734.87711,7.375,12.73,0.69
51540.96832,9.1427385,2.681662112,24,9.237,5.435,44.042595,1.2,44822.1606,8.066667,12.84,0.69
49810.69951,7.395789277,2.765254833,23.849,9.264,5.451,43.132984,1.2,42551.14014,8.95,12.34,0.73
48395.80347,6.780291919,2.735402732,23.46,8.159,6.119,42.310982,1.2,40911.95717,9.616667,7.59,0.86
47028.1604,6.342366477,2.812699236,22.957,7.878,6.245,41.056328,1.2,39399.2691,9.266666,7.96,0.58
48311.2237,5.179323016,2.767907906,25.742,10.179,6.322,41.564896,1.2,40434.22882,5.775,10.76,0.7
47902.06035,3.878447848,2.631605897,26.769,10.235,6.278,40.386425,1.2,40672.60019,4.616667,9.61,0.6
46230.8462,3.997701711,2.557640249,26.777,9.727,6.321,39.239269,1.2,39790.85077,4.616667,10.03,0.58
44043.73414,3.280653368,2.516968141,26.102,9.189,6.377,39.363441,1.2,37619.95384,5.066667,12.44,0.63
41647.84391,5.345121261,2.502429643,24.769,8.47,6.501,39.042027,1.2,35784.99783,5.533333,11.27,0.9
39426.08714,5.753869391,2.564546092,24.48,8.646,6.532,38.652836,1.2,33837.16083,5.991667,11.85,0.52
37979.60793,6.060324346,2.559256605,24.994,9.507,6.617,39.336624,1.2,32662.16383,5.775,10.62,0.64
37099.9106,5.251511278,2.648296295,27.261,11.598,6.69,38.717625,1.2,32070.82016,4.733333,11.07,0.68
50966.77599,1.49429742,1.541347399,32.991,12.027,4.615,61.754246,0.3,36802.07309,5.658333,18.16,0.71
50077.78671,1.49429742,1.562870977,32.991,12.027,4.615,61.754246,0.3,36802.07309,5.833333,18.71,0.83
48633.83615,1.965966382,1.668856344,32.813,11.725,4.639,60.916767,0.3,36802.07309,6.341667,18.75,0.66
46480.50132,1.681647953,1.728728459,33.172,11.862,4.879,60.582603,0.4,34201.63935,6.991667,16.72,0.66
44671.4095,4.226626249,1.693242854,32.82,12.073,4.842,59.182831,0.4,35162.08491,6.908333,14.72,0.84
45753.78294,3.691303649,1.714172855,31.266,11.355,4.68,57.725277,0.4,41307.976,6.908333,13.04,0.61
44298.51446,4.947907927,1.705404188,31.132,11.253,4.752,57.603394,0.4,42650.04721,7.083333,12.19,0.68
42290.87908,4.937873652,1.772328277,31.177,11.354,4.699,57.056797,0.4,42696.49321,7.291667,7.12,0.73
41666.71885,4.354599835,1.787140592,30.803,11.109,4.538,56.40131,0.4,42189.913,7.525,7.12,0.73
40113.52698,4.440903444,1.825277543,31.007,10.858,4.609,56.169838,0.4,38427.36803,8.058333,7.12,0.73
38893.17914,4.69159156,1.917415394,32.346,11.716,4.861,55.780476,0.4,32883.99029,8.35,7.12,0.73
40376.33017,3.428922342,1.855777859,31.235,11.776,4.521,55.619267,0.4,37735.73791,6.141667,7.12,0.73
39554.85212,2.269736999,1.903577511,32.495,12.045,4.673,55.674667,0.8,36272.00856,6.05,7.12,0.73
38106.95955,2.735295854,1.94299895,32.725,11.62,4.768,54.622643,0.8,32803.91151,6.333333,7.12,0.73
36327.66206,1.618278165,1.971243467,32.661,11.593,4.821,53.694931,0.9,29559.95281,6.758333,9.28,0.42
33911.26138,2.710152548,1.997333295,32.713,11.33,4.887,53.197052,0.9,25942.07004,7.191667,8.85,0.53
32333.57544,2.139045288,1.967807056,32.7,11.223,5.057,53.179329,0.6,22832.11148,7.575,8.28,0.49
30963.22201,3.145253555,1.971694588,33.081,11.619,5.033,51.629013,0.6,19553.40346,7.675,9.51,0.51
30214.48058,4.986054542,2.021156042,34.086,12.75,4.838,50.856735,0.6,18966.02007,7.216667,10.27,0.63
45987.961,-0.332986938,1.646113975,33.267,9.053,6.372,51.624851,0,34170.56251,4.330292,8.4,0.46
44138.04321,1.738754862,1.660232957,32.726,8.969,6.189,51.775383,0,34430.33556,4.809951,8.8,0.47
42522.18384,4.728268704,1.649854765,32.157,8.908,6.017,49.943413,0.1,37867.41769,5.301053,6.93,0.53
41269.35163,4.095814604,1.643404491,31.823,8.681,5.917,49.185982,0.1,39971.56127,6.110472,10.66,0.55
39984.88504,3.455436852,1.620276874,32.2,8.889,6.023,48.31358,0.3,36538.23564,7.525075,7.14,0.63
38309.02831,4.347209074,1.577157554,32.406,8.9,6.157,47.860847,0.3,36083.52447,7.885344,8.98,0.54
37146.17327,4.89815929,1.649594164,33.133,9.301,6.168,46.910782,0.7,36364.55421,8.036686,7.29,0.56
36371.61827,7.280779355,1.645643029,32.387,9.261,6.132,46.046906,0.7,33896.39243,7.786648,6.42,0.52
35038.59208,6.818294038,1.671246986,31.225,9.487,6.144,45.283749,0.7,33142.25854,7.536723,5.74,0.47
36650.10126,3.789224784,1.612724766,32.298,9.781,6.224,43.337868,0.8,40623.67475,5.61258,5.91,0.46
35599.40067,4.955977842,1.612885424,32.966,9.806,6.047,43.08427,0.8,44086.21356,5.262478,5.53,0.49
34772.47846,3.431339974,1.57317365,32.903,9.515,6.109,41.8297,0.7,38764.43592,5.348789,5.76,0.46
32661.84799,3.503796454,1.552789782,32.676,9.371,6.082,35.345379,0.7,37197.95888,4.74926,6.19,0.43
31984.97095,3.684897285,1.533798238,32.283,9.115,6.034,34.897144,0.9,35340.99567,4.690948,6.25,0.46
30267.42738,3.682776547,1.582386594,31.272,8.925,5.715,33.321693,1,30111.60841,4.966743,6.35,0.43
46214.08221,5.526058377,2.428165588,44.725,12.619,14.261,43.144318,5,32405.96174,8.481071,6.24,0.66
44929.93333,6.405556126,2.370016325,45.07,12.966,14.27,44.239079,5.2,38400.62075,8.52289,5.4,0.41
43672.71229,6.579136425,2.330725158,45.106,12.864,14.364,42.663147,5.3,38281.73306,8.425185,4.92,0.54
40943.34348,8.349677754,2.173324418,43.141,12.153,13.972,42.455688,5.5,38918.80983,7.139795,5.69,0.66
39865.2054,9.25756708,2.061876394,42.621,12.039,13.817,43.801159,5.7,37246.55427,8.293048,3.67,0.83
37787.57778,12.1672895,1.998598447,42.37,12.041,14.139,42.484257,5.6,36207.84032,7.906314,3.51,0.56
37883.23342,11.88596584,1.936839386,43.25,12.309,13.641,42.271435,5.5,40516.28062,6.970808,2.85,0.41
36751.93089,11.23807433,1.849994631,42.72,11.884,13.245,41.339031,5.6,36992.57571,7.459264,3.15,0.46
